Name,Calories per serve,Category,When to eat,Plan,veg,clusterID,Main Meal,Total Fat,Cholesterol,sodium,Potassium,Total Carbohydrates,sugars,Protein,iron
BREAKFASTSANDWICH,233,Other,Breakfast,G,1,2345,1,13,199,551,129,18,1,11,2
EGGS,155,Dairy,Breakfast/Dinner,LG,1,123450,0,11,373,124,126,1.1,1.1,13,1.2
YOGURT,58,Dairy,Breakfast/Dinner,LG,1,123450,0,0.4,5,36,141,3.6,3.2,10,0.1
COTTAGECHEESE,98,Dairy,Breakfast,L,1,1230,0,4.3,17,364,104,3.4,2.7,11,0.1
CREAMCHEESE,342,Dairy,Breakfast,G,1,2345,0,34,110,321,138,4.1,3.2,6,0.4
SLICEDCHEESE,312,Dairy,Breakfast,G,1,2345,0,30,78,1309,283,8.8,6.2,17,0
COLDCEREAL,387,other,Breakfast/Dinner,G,1,2345,0,6.7,0,419,193,87,38.7,3.2,6.5
WHOLEGRAINCEREAL,367,Other,Breakfast,G,1,2345,1,3.3,0,633,300,76.7,17,6.7,26.7
GRITS,59,other,Breakfast/Dinner,L,1,1230,1,0.2,0,223,21,13,0.1,1.4,0.2
MILKONCEREAL,218,Dairy,Breakfast,LG,1,123450,0,3.3,5,358,207,43.7,13.9,5.23,11.18
BROWNRICE,112,Other,Launch,LG,1,123450,0,0.9,0,5,43,23,0.4,2.6,0.4
WHITERICE,130,Other,Launch,LG,1,123450,0,0.3,0,1,35,28,28,2.7,0.2
PANCAKE,227,Dessert,Launch,G,1,2345,0,10,59,439,132,28,16,6,1.8
PASTRIES,550,Dessert,Launch,G,1,2345,0,38,0,249,61,45,0.7,7,2.6
BISCUIT,353,Dessert,Launch/Dinner,G,1,2345,0,16,3,580,121,45,2.2,7,2.9
CORNBREAD,330,Dessert,Launch,LG,1,123450,0,10,57,599,133,54,16,7,1.9
BUNS,279,Dessert,Dinner,G,1,2345,0,3.9,0,494,122,50,7.3,9.8,1.4
BAGEL,250,Other,Breakfast/Dinner,LG,1,123450,0,1.5,0,439,165,49,6,10,2.8
TORTILLAS,218,Other,Dinner,G,1,2345,1,2.9,0,45,186,45,0.9,6,1.2
OTHERBREADS,264,Dairy,Breakfast/Dinner,LG,1,23450,1,3.2,0,491,115,49,5,9,3.6
BROCCOLI,33,Vegeitables,Launch,L,1,1230,0,0.4,0,33,316,7,1.7,2.8,0.7
CARROTS,41,Vegeitables,Breakfast/Launch/Dinner,LG,1,123450,0,0.2,0,69,320,9.6,4.5,0.9,1
CORN,96,Other,Dinner,LG,1,123450,0,1.5,0,15,50,21,6.4,3.4,0
GREENBEANS,30,Vegeitables,Dinner,L,1,1230,0,0.1,0,6,209,7,3.4,1.8,1
COOKEDGREENS,23,Vegeitables,Launch/Dinner,L,1,1230,0,0.4,0,79,558,3.6,0.4,2.9,2.7
CABBAGE,24,Vegeitables,Dinner,L,1,1230,0,0.1,0,18,170,6,3.2,1.3,0.5
GREENSALAD,23,Vegeitables,Launch/Dinner,LG,1,123450,0,0.4,0,79,558,3.6,0.4,2.9,2.7
RAWTOMATOES,18,Vegeitables,Breakfast/Dinner,LG,1,123450,0,0.2,0,5,237,3.9,2.6,0.9,3.9
